S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
442,6.36873110513395,5.59855875862077,17.8617398354564,3.08726573665568,14.408893903018,0.436062986476953,0,1095.95686848958,14.8330043475348,0.187246489852282,534.055405144789,1.3250319203714,13.5342957136417,0.464241763304057,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450.5,6.3515869416762,5.54442552829149,18.0361336787249,3.09560697176142,14.0989721235876,0.445648466576356,0,1096.05045572917,14.7330043475348,0.19551126092483,511.479489861444,1.33402717055335,13.4419034000888,0.467432708015002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
459,6.33382687749469,5.48844702023563,18.2200902425231,3.10429555186504,13.7991870969383,0.455330104812743,0,1096.15771484375,14.6330043475348,0.20396510999714,490.279930726397,1.34314539898072,13.3493603606308,0.470673136198316,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
467.5,6.31543575868893,5.43051020729723,18.4144760220919,3.11334443542303,13.5089534945218,0.465112661001282,0,1096.26497395833,14.5330043475348,0.212605756988238,470.354149467044,1.35238914518654,13.2568354300875,0.473958158439484,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
476,6.29638394253209,5.37052258154664,18.6201619081921,3.1227742255531,13.2276973582607,0.475002197057052,0,1096.37906901042,14.4330043475348,0.221448475630576,451.572311415779,1.36176101911778,13.1642465233871,0.477291677576617,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
484.5,6.27664769360086,5.30843433746045,18.8379461142285,3.13260323632108,12.9548972004146,0.485004644188031,0,1096.5,14.3330043475348,0.230491331380903,433.855795794519,1.37126370359315,13.0715953921886,0.480674708684322,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
493,6.25619467576192,5.24415787596331,19.0688385752747,3.1428547431983,12.6900500522554,0.495126912920479,0,1105,11.4043980355097,0.615740379918263,162.406110207154,1.72349442416946,10.3207222040811,0.608793181614268,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
501.5,6.23499885784446,5.17761150498029,19.3139249446991,3.15354963077461,12.4326996168384,0.505375783282809,0,1113.5,10.2661071698987,0.854440251331988,117.035684875695,1.91466056104614,9.21967415347887,0.681497545638177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510,6.21300830025029,5.108755499525,19.5742387768015,3.16472276901375,12.182369216177,0.515760538503144,0,1122,9.55294202813467,1.03649166192192,96.4793096497992,2.05765693562417,8.5142085812252,0.737964691284957,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
518.5,6.19020183713398,5.03746610882322,19.8512501800951,3.17639444507196,11.9386727813577,0.526288426046051,0,1130.5,9.03614880598252,1.18229768998089,84.5810668898593,2.1753929976043,7.99305511365105,0.78608056842355,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
527,6.16654024301049,4.96366929022266,20.1463865042295,3.18859514291794,11.7012148823728,0.536968628500688,0,1139,8.63203070040931,1.30125974148964,76.8486081691294,2.27728889844423,7.57860465356392,0.829068884629686,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
535.5,6.14197287659398,4.88729451262491,20.4612183165305,3.20136251343687,11.4696038778599,0.547811883835691,0,1147.5,8.30055386026017,1.3990049351019,71.4793761558221,2.36828167597819,7.23359813530298,0.868611331408503,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
544,6.11645542006277,4.80824582746059,20.7976055277551,3.21473239434331,11.2434842280566,0.558829023079942,0,1156,8.01952923568168,1.47942296162309,67.5939218154954,2.45132208074548,6.9373090274063,0.905709300588665,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
552.5,6.08993359993121,4.72642652536719,21.1576334601395,3.22874744420102,11.0225042532692,0.570032468376328,0,1164.5,7.7753923177269,1.54545869059112,64.7057088027058,2.52833955055705,6.67702217065428,0.941016091693447,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
561,6.06235747269887,4.64174736915483,21.5436110686498,3.24344987044404,10.8063413060586,0.581435023124515,0,1173,7.55933120494067,1.59944359405014,62.5217421683362,2.60065363201239,6.44444262995794,0.974977304937322,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
569.5,6.03366347551588,4.55420409370688,21.9577335451836,3.25889120151444,10.5946680869462,0.593051642167171,0,1181.5,7.36526554598029,1.64330691523745,60.8529052441494,2.66922662409484,6.2338261074738,1.00791796223616,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
578,6.00379502798432,4.46341156285074,22.4043870012585,3.27512158767794,10.3871886297307,0.604897584048449,0,1190,7.18889501743427,1.67865298645604,59.5715736407913,2.73476193192779,6.04108824994477,1.04007507376457,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
586.5,5.97267474539716,4.36956326184772,22.8855823814561,3.29220517923563,10.1835886537036,0.61699127103828,0,1198.5,7.02704259084815,1.70684887343696,58.587495094769,2.79780068804675,5.86319782298552,1.0716311297817,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
595,5.94022572703349,4.27246122268512,23.405712723392,3.31020912804388,9.98357265047646,0.629352389886172,0,1207,6.87732470023976,1.72905439773998,57.8350803368064,2.85875826449481,5.69786636308182,1.10272598667638,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603.5,5.90635939322077,4.17200914249116,23.9692667452518,3.3292107861201,9.78684240798802,0.642003318869348,0,1215.5,6.73790183360222,1.74626382484252,57.2651157158443,2.91796329966162,5.54331701653823,1.13347031902271,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
612,5.87099389536648,4.06807959576006,24.5816232563947,3.34928798062359,9.59312728001058,0.654967366092599,0,1224,6.6073456451808,1.75932290784206,56.8400488359793,2.97567145369984,5.39815820684706,1.1639498262963,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
620.5,5.83401427681837,3.96059990657993,25.2487002875159,3.37054230123943,9.40211809318029,0.668273387433521,0,1232.5,6.48449891761972,1.76895874641852,56.5304307986055,3.0320967763707,5.26125672829186,1.19423659244614,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
629,5.79530331514307,3.84943319588223,25.9778504812009,3.39308282458465,9.21351878401124,0.681952840654448,0,1241,6.36846282043252,1.77578379841767,56.3131615960829,3.08739592014909,5.13171863048551,1.22438227026978,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
637.5,5.75474955669697,3.73457317533724,26.7768216888587,3.41702219088464,9.0270581281521,0.6960390880374,0,1249.5,6.25847690371065,1.78032328963067,56.1695735726431,3.14170751365928,5.00878503698332,1.25443301335284,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
646,5.71219363464235,3.61587189017091,27.6558470646684,3.44250961709885,8.84240500718629,0.710574250113311,0,1258,6.1539244282202,1.78301966509338,56.0846310098114,3.19513868021653,4.89183181893498,1.28442381908124,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
654.5,5.6674782281153,3.49325023285601,28.6266351775899,3.4697035323955,8.65924862966432,0.725603984352064,0,1266.5,6.05428963303903,1.78424913386309,56.0459848919692,3.24777666665023,4.78033133283777,1.31438280522904,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
663,5.62044109200629,3.36660951948323,29.7034744960116,3.49877727098783,8.47728671494161,0.741178813275854,0,1275,5.95914272131097,1.78432310352462,56.0436614884755,3.2996893869194,4.67383742847919,1.3443311632737,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
